thumbnail_link,video_link,video_title,views,date_time,video_duration
https://i.ytimg.com/vi/vNiiuh__7u0/hqdefault.jpg,https://www.youtube.com/watch?v=vNiiuh__7u0,Correct Your Mistakes in 1 minute | Data Science | GeeksforGeeks,1.2K views,4 months ago,46 seconds
https://i.ytimg.com/vi/ksRDXChKN70/hqdefault.jpg,https://www.youtube.com/watch?v=ksRDXChKN70,CodeCast Ep. 1 | Journey From A Vegetable Seller To A 10LPA+ Job | GeeksforGeeks,2.3K views,5 months ago,"7 minutes, 19 seconds"
https://i.ytimg.com/vi/qCioG1rwM6I/hqdefault.jpg,https://www.youtube.com/watch?v=qCioG1rwM6I,LIVE DSA Sessions By Everyone's Favorite Teacher!,4.7K views,5 months ago,32 seconds
https://i.ytimg.com/vi/mckeyuVM07g/hqdefault.jpg,https://www.youtube.com/watch?v=mckeyuVM07g,GeeksforGeeks Resolution Days 2023 | Never Before Seen Offers!,7K views,5 months ago,26 seconds
https://i.ytimg.com/vi/jMjSpFObSKM/hqdefault.jpg,https://www.youtube.com/watch?v=jMjSpFObSKM,The Top 5 DSA Fails (and How to Avoid Them!),3.3K views,5 months ago,"5 minutes, 40 seconds"
https://i.ytimg.com/vi/bMDud1_-x1U/hqdefault.jpg,https://www.youtube.com/watch?v=bMDud1_-x1U,GeeksforGeeks Now On iOS,1.4K views,5 months ago,21 seconds
https://i.ytimg.com/vi/AESq1z0Okb0/hqdefault.jpg,https://www.youtube.com/watch?v=AESq1z0Okb0,"⛄ Merry Christmas, Geeks! ⛄ | Keep Coding Keep Learning | GeeksforGeeks",1.3K views,5 months ago,15 seconds
https://i.ytimg.com/vi/yvkQMMU076M/hqdefault.jpg,https://www.youtube.com/watch?v=yvkQMMU076M,Student Success Story: Placed as an SDE at Byju's with Help from GeeksforGeeks,1.5K views,6 months ago,49 seconds
https://i.ytimg.com/vi/84a0IXscfgE/hqdefault.jpg,https://www.youtube.com/watch?v=84a0IXscfgE,Service Based Test Series By GeeksforGeeks,986 views,6 months ago,"1 minute, 5 seconds"
https://i.ytimg.com/vi/J63OOZzo-p8/hqdefault.jpg,https://www.youtube.com/watch?v=J63OOZzo-p8,India's Biggest Technical Content Writing Event is now LIVE 🔴 Participate Now | GeeksforGeeks,791 views,6 months ago,41 seconds
https://i.ytimg.com/vi/fyo53bLMyA4/hqdefault.jpg,https://www.youtube.com/watch?v=fyo53bLMyA4,Landing SDE Role at Paytm | GeeksforGeeks,1.5K views,7 months ago,"2 minutes, 50 seconds"
https://i.ytimg.com/vi/RB1qpEZrcYo/hqdefault.jpg,https://www.youtube.com/watch?v=RB1qpEZrcYo,SDE at Paytm using GFG | GeeksforGeeks,1.3K views,7 months ago,44 seconds
https://i.ytimg.com/vi/e_nnIOwhgzY/hqdefault.jpg,https://www.youtube.com/watch?v=e_nnIOwhgzY,Roadmap to a Career at Amazon | Preparation Strategies by Senior QAE | GeeksforGeeks,5.2K views,7 months ago,"27 minutes, 52 seconds"
,https://www.youtube.com/watch?v=mCvuYVwmU2Y,Happy Diwali | GeeksforGeeks presents office Diwali Party,1.3K views,7 months ago,59 seconds
,https://www.youtube.com/watch?v=VIg0Ka5U3LA,Data Analysis Complete Roadmap | GeeksforGeeks,3.1K views,7 months ago,"6 minutes, 1 second"
,https://www.youtube.com/watch?v=CyI0QuVWawQ,Roadmap to a Career at Microsoft | Preparation Strategies by Microsoft SDE | GeeksforGeeks,5K views,7 months ago,"32 minutes, 16 seconds"
